Part Name,Image,Quantity,Part Type,Source 1,Source 2,Optional,Note
front-left-leg,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
front-right-leg,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
back-left-leg,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
back-right-leg,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
y-gantry,,2,FDM,Download all 3D printed parts at the link at the top of the page.,,,
y-gantry-support,,2,FDM,Download all 3D printed parts at the link at the top of the page.,,,
x-motor-mount,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
roller-spacer,,6,FDM,Download all 3D printed parts at the link at the top of the page.,,,
frame-umbilical-mount,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
y-gantry-umbilical-mount,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
x-gantry-front,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
x-gantry-back,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
x-idler-mount,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
top-camera-mount,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
top-light-mount,,1,FDM,Download all 3D printed parts at the link at the top of the page.,,,
extrusion-cable-clip,,6,FDM,Download all 3D printed parts at the link at the top of the page.,,,
z-gantry-left,,1,FDM,Click link above to download source,,,
z-gantry-right,,1,FDM,Click link above to download source,,,
z-gantry-backplate-left,,1,FDM,Click link above to download source,,,
z-gantry-backplate-right,,1,FDM,Click link above to download source,,,
bottom-light-mount,,1,FDM,Click link above to download source,,,
bottom-camera-mount,,1,FDM,Click link above to download source,,,
foot,,1,FDM,Click link above to download source,,,
umbilical-cable-strain-relief,,1,FDM,Click link above to download source,,,
peek-cable-clamp,,6,FDM,Click link above to download source,,,
nozzle-rack,,1,FDM,Click link above to download source,,,
pump-mount,,2,FDM,Click link above to download source,,,
valve-mount,,1,FDM,Click link above to download source,,,
belt-clamp,,6,FDM,Click link above to download source,,,
belt-tension-arm,,3,FDM,Click link above to download source,,,
x-gantry-roller-carriage,,2,FDM,Click link above to download source,,,
umbilical-swivel,,1,FDM,Click link above to download source,,,
umbilical-swivel-extension,,1,FDM,Click link above to download source,,,
datum-board-mount,,1,FDM,Click link above to download source,,,
board-mount-static,,-,FDM,Click link above to download source,,Optional,This part is meant to help hold a PCB on the staging plate. Use an M3x10mm hex head screw and an M3 wingnut for each one. Print in PETG.
board-mount-dynamic,,-,FDM,Click link above to download source,,Optional,This part is meant to help hold a PCB on the staging plate. Use an M3x10mm hex head screw and an M3 wingnut for each one. Print in PETG.
board-support,,-,FDM,Click link above to download source,,Optional,This part is meant to help support a PCB mounted on a staging plage.
8mm-strip-feeder,,-,FDM,Click link above to download source,,Optional,This part can be mounted to the staging plate and hold 8mm tape. Use four M3x8mm screws and four M3 wingnuts to attach it.
12mm-strip-feeder,,-,FDM,Click link above to download source,,Optional,This part can be mounted to the staging plate and hold 12mm tape. Use four M3x8mm screws and four M3 wingnuts to attach it.
