"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CSTNE16M0V530000R0","Murata Electronics","490-17948-1-ND","","","Cut Tape (CT)","Active","1","0.29000","$0.29","31192","15 Weeks","CERAMIC RES 16.0000MHZ 15PF SMD","ROHS3 Compliant","Contains lead","Not Available"
"ATMEGA328P-AU","Microchip Technology","ATMEGA328P-AU-ND","","","Tray","Active","1","2.01000","$2.01","10806","1 Weeks","IC MCU 8BIT 32KB FLASH 32TQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-6GEYJ471V","Panasonic Electronic Components","P470ACT-ND","","","Cut Tape (CT)","Active","3","0.10000","$0.30","146779","16 Weeks","RES SMD 470 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805ZRY5V9BB104","Yageo","311-1361-1-ND","","","Cut Tape (CT)","Active","4","0.11000","$0.44","1170822","33 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"DRV8838DSGR","Texas Instruments","296-40081-1-ND","","","Cut Tape (CT)","Active","1","1.06000","$1.06","29467","6 Weeks","IC BRIDGE DRIVER PAR 8WSON","ROHS3 Compliant","Lead free","REACH Unaffected"
"MDS6500AL02SR","C&K","CKN9573CT-ND","","","Cut Tape (CT)","Active","1","3.04000","$3.04","1391","84 Weeks","SWITCH SNAP ACT SPDT 300MA 30V","ROHS3 Compliant","Lead free","REACH Unaffected"
"70AAJ-4-M0G","Bourns Inc.","70AAJ-4-M0GCT-ND","","","Cut Tape (CT)","Active","1","1.63000","$1.63","5135","12 Weeks","CONN SPRING MOD MALE 4POS SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"VCNT2020","Vishay Semiconductor Opto Division","VCNT2020CT-ND","","","Cut Tape (CT)","Active","1","0.91000","$0.91","0","6 Weeks","REFLECTIVE SENSOR WITH PTR OUTPU","ROHS3 Compliant","Lead free","Not Available"
"24438","Keystone Electronics","36-24438-ND","","","Bulk","Active","4","0.65000","$2.60","5695","6 Weeks","HEX STANDOFF M3 ALUMINUM 25MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"LTST-S220KSKT","Lite-On Inc.","160-1470-1-ND","","","Cut Tape (CT)","Active","1","0.31000","$0.31","50","12 Weeks","LED YELLOW CLEAR CHIP SMD R/A","ROHS3 Compliant","Lead free","Not Available"
"LTST-S220KGKT","Lite-On Inc.","160-1468-1-ND","","","Cut Tape (CT)","Active","1","0.26000","$0.26","83","12 Weeks","LED GREEN CLEAR CHIP SMD R/A","ROHS3 Compliant","Lead free","Not Available"
"S4B-PH-SM4-TB(LF)(SN)","JST Sales America Inc.","455-1751-1-ND","","","Cut Tape (CT)","Active","1","0.79000","$0.79","23219","16 Weeks","CONN HEADER SMD R/A 4POS 2MM","RoHS Compliant","Lead free","Not Available"
"EVQ-PUA02K","Panasonic Electronic Components","P10847SCT-ND","","","Cut Tape (CT)","Active","3","0.68000","$2.04","15997","6 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","RoHS Compliant","Lead free","Not Available"
"CC0805ZRY5V8BB105","Yageo","311-1358-1-ND","","","Cut Tape (CT)","Active","1","0.16000","$0.16","60250","33 Weeks","CAP CER 1UF 25V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","23004366","24 Weeks","RES SMD 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
