Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,JLCPCB,Config,LCSC
1,"Unpolarized capacitor, small symbol",C_Small,C6 C7,10pF,C_0805_2012Metric,2, ,~,C1785,,
2,"Unpolarized capacitor, small symbol",C_Small,C5 C12,10nF,C_0805_2012Metric,2, ,~,C1710,,
3,"Unpolarized capacitor, small symbol",C_Small,C1 C3 C4 C10 C17 C20,100nF,C_0805_2012Metric,6, ,~,C49678,,
4,"Unpolarized capacitor, small symbol",C_Small,C13,1uF,C_0805_2012Metric,1, ,~,C28323,,
5,"Unpolarized capacitor, small symbol",C_Small,C8,2.2uF,C_0805_2012Metric,1, ,~,C49217,,
6,"Unpolarized capacitor, small symbol",C_Small,C2 C15 C16,4.7uF,C_0805_2012Metric,3, ,~,C1779,,
7,"Unpolarized capacitor, small symbol",C_Small,C9 C11 C14 C18 C19,10uF,C_0805_2012Metric,5, ,~,C15850,,
8,"Diode, small symbol",D_Small,D4,1N4148,D_SOD-123,1, ,~,C81598,,
9,"Schottky diode, small symbol",D_Schottky_Small,D3,B140,D_SMB_Handsoldering,1, ,~,C134426,,
10,Light emitting diode,LED,D2,LED1,LED_0805_2012Metric,1, ,~,C2293,,
11,Light emitting diode,LED,D1,LED2,LED_0805_2012Metric,1, ,~,C2293,,
12,Light emitting diode,LED,D5,LED3,LED_0805_2012Metric,1, ,~,C2293,,
13,Light emitting diode,LED,D6,LED4,LED_0805_2012Metric,1, ,~,C2293,,
14,Light emitting diode,LED,D7,LED5,LED_0805_2012Metric,1, ,~,C2293,,
15,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x06_Female,J1,FTDI_HEADER,PinHeader_1x06_P2.54mm_Vertical,1, ,~,,,
16,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05_Male,J2,PLATED_PADS,5-pad-spring-finger-interface,1, ,~,,,
17,,Conn_ARM_JTAG_SWD_10-Connector,J3,SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,1, ,http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf,,,
18,Inductor symbol for simulation only,INDUCTOR,L1,15uH,L_Taiyo-Yuden_NR-50xx_HandSoldering,1, ,~,C44888,,
19,DC Motor,Motor_DC,M1,DRIVE_MOTOR,PinHeader_1x02_P2.54mm_Vertical,1, ,~,,,
20,DC Motor,Motor_DC,M2,PEEL_MOTOR,PinHeader_1x02_P2.54mm_Vertical,1, ,~,,,
21,"Resistor, small symbol",R_Small,R1 R3 R9 R10 R11,470R,R_0805_2012Metric,5, ,~,C17710,,
22,"Resistor, small symbol",R_Small,R4,1K,R_0805_2012Metric,1, ,~,C17513,,
23,"Resistor, small symbol",R_Small,R8 R12 R13,10K,R_0805_2012Metric,3, ,~,C17414,,
24,"Resistor, small symbol",R_Small,R7,56k,R_0805_2012Metric,1, ,~,C25638,,
25,"Push button switch, generic, two pins",SW_Push,SW1,BUTTON_1,Panasonic_EVQPUJ_EVQPUA,1, ,,,,
26,"Push button switch, generic, two pins",SW_Push,SW2,BUTTON_2,Panasonic_EVQPUJ_EVQPUA,1, ,,,,
27,"Push button switch, generic, two pins",SW_Push,SW3 SW4,RESET,Panasonic_EVQPUJ_EVQPUA,2, ,,,,
28,"1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",AP1117-33,U5,AP1117-33,SOT-223-3_TabPin2,1, ,http://www.diodes.com/datasheets/AP1117.pdf,C108785,,
29,"Dual H-Bridge Motor Driver, HTSSOP-16",DRV8833PWP,U4,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1, ,http://www.ti.com/lit/ds/symlink/drv8833.pdf,C50506,,
30,"+3.3V, ±15kV ESD-Protected, Fail-Safe, Hot-Swap, RS-485/RS-422 Transceivers, SOIC-8",MAX3078E,U3,MAX3078E,SOIC-8_3.9x4.9mm_P1.27mm,1, ,https://datasheets.maximintegrated.com/en/ds/MAX3070E-MAX3079E.pdf,C40031,,C40031
31,"1A, 4.0 to 30V Input, High Voltage Input integrated switch step-down regulator, SOT-23-6",MCP16301,U7,MCP16301,SOT-23-6,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/20005004D.pdf,C57168,,
32,"ARM Cortex-M3 MCU, 64KB flash, 20KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",STM32F103C8Tx,U6,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,1, ,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf,C8734,,
33,"Linear Hall Effect Sensor, SOT-23W",TCS40DPR,U1,TCS40DPR,SOT-23W,1, ,http://www.allegromicro.com/~/media/Files/Datasheets/A1301-2-Datasheet.ashx,C150116,,
34,,Crystal_GND24_Small-Device,Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1, ,~,C57131,,C518155
