"Comment","Designator","Footprint","LCSC Part #"
"10pF","C6,C7","C_0805_2012Metric","C1785"
"0.01uF","C5,C12","C_0805_2012Metric","C1710"
"0.1uF","C1,C3,C4,C17","C_0805_2012Metric","C49678"
"1uF","C13","C_0805_2012Metric","C28323"
"2.2uF","C8","C_0805_2012Metric","C49217"
"4.7uF","C2,C15,C16","C_0805_2012Metric","C1779"
"10uF","C9,C10,C11,C18,C19","C_0805_2012Metric","C15850"
"100uF","C14","C_0805_2012Metric",""
"1N4148","D4","D_SOD-123","C81598"
"B140","D3","D_SMB_Handsoldering","C134426"
"LED1","D2","LED_0805_2012Metric","C2293"
"LED2","D1","LED_0805_2012Metric","C2293"
"LED3","D5","LED_0805_2012Metric","C2293"
"LED4","D6","LED_0805_2012Metric","C2293"
"LED5","D7","LED_0805_2012Metric","C2293"
"FTDI_HEADER","J1","PinHeader_1x06_P2.54mm_Vertical",""
"PLATED_PADS","J2","5-pad-spring-finger-interface",""
"SWD_10","J3","PinHeader_2x05_P1.00mm_Vertical_SMD",""
"15uH","L1","L_Taiyo-Yuden_NR-50xx_HandSoldering","C44888"
"DRIVE_MOTOR","M1","PinHeader_1x02_P2.54mm_Vertical",""
"PEEL_MOTOR","M2","PinHeader_1x02_P2.54mm_Vertical",""
"470R","R1,R3,R6,R9,R10,R11,R14","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17710"
"1K","R4","R_0805_2012Metric","C17513"
"10K","R8,R12,R13","R_0805_2012Metric","C17414"
"10K","R5,R15","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"52.3K","R7","R_0805_2012Metric","C17740"
"BUTTON_1","SW1","Panasonic_EVQPUJ_EVQPUA",""
"BUTTON_2","SW2","Panasonic_EVQPUJ_EVQPUA",""
"RESET","SW3","Panasonic_EVQPUJ_EVQPUA",""
"AP1117-33","U5","SOT-223-3_TabPin2","C108785"
"DRV8833PWP","U4","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias","C50506"
"MAX3485","U3","SOIC-8_3.9x4.9mm_P1.27mm","C40031"
"MCP16301","U7","SOT-23-6","C57168"
"QRE1113","U8","OnSemi_CASE100CY","C232862"
"STM32F103C8Tx","U6","LQFP-48_7x7mm_P0.5mm","C8734"
"TCS40DPR","U1","SOT-23W","C150116"
"VCNT2020","U2","VCNT2020",""
"8MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C57131"
