Designator,Mid X,Mid Y,Layer,Rotation
"C1",70.8660,-81.2800,top,90.0000
"C2",74.2465,-80.0100,top,0.0000
"C3",74.2465,-82.2960,top,0.0000
"C4",61.9760,-85.0900,top,270.0000
"C5",54.3560,-76.7080,top,180.0000
"C6",66.2940,-77.7240,top,180.0000
"C7",61.9760,-81.2800,top,90.0000
"C8",57.9120,-76.7080,top,180.0000
"C9",60.4520,-69.8500,top,270.0000
"C10",96.7740,-88.6460,top,180.0000
"C11",97.7900,-99.6950,top,270.0000
"C12",72.7075,-99.1870,top,270.0000
"C13",74.8030,-99.1870,top,270.0000
"C14",113.3625,-90.9320,top,0.0000
"C15",113.6650,-79.5020,top,270.0000
"C16",111.1250,-79.5020,top,270.0000
"C17",108.5850,-87.7570,top,180.0000
"C18",98.1710,-85.4710,top,90.0000
"C19",95.5040,-85.4710,top,90.0000
"D1",7.3660,-19.8905,top,90.0000
"D2",7.3660,-25.6540,top,90.0000
"D3",100.9650,-80.2640,top,180.0000
"D4",108.5850,-90.9320,top,180.0000
"D5",14.0625,-7.0000,top,0.0000
"D6",19.5000,-7.0000,top,0.0000
"D7",25.0000,-7.0000,top,0.0000
"J3",80.7720,-98.5520,top,0.0000
"L1",102.8700,-87.6300,top,270.0000
"R1",9.9060,-25.6540,top,270.0000
"R3",9.9060,-19.8120,top,270.0000
"R4",62.7380,-88.3920,top,180.0000
"R5",81.0260,-54.3560,top,90.0000
"R6",91.1860,-54.3560,top,90.0000
"R7",113.2840,-87.4545,top,90.0000
"R8",113.2840,-83.6445,top,270.0000
"R9",14.0000,-9.5000,top,180.0000
"R10",19.5000,-9.5000,top,180.0000
"R11",25.0000,-9.5000,top,180.0000
"R12",72.7075,-102.1715,top,180.0000
"R13",70.6120,-99.1870,top,90.0000
"SW1",7.8740,-12.4460,top,90.0000
"SW2",7.8740,-33.5280,top,90.0000
"SW3",92.0750,-101.6000,top,180.0000
"U1",63.4760,-10.0410,top,0.0000
"U3",112.3950,-97.7900,top,0.0000
"U4",56.1450,-69.8310,top,180.0000
"U5",104.7750,-97.7900,top,0.0000
"U6",71.1200,-90.4240,top,225.0000
"U7",108.5850,-83.9470,top,0.0000
"U8",86.1695,-54.5500,top,0.0000
"Y1",66.2940,-81.2800,top,180.0000
