part-number,name
CHA-0001,y1-motor-harness
CHA-0002,y2-motor-harness
CHA-0003,x-motor-harness
CHA-0004,z-motor-harness
CHA-0005,l-motor-harness
CHA-0006,y-limit-harness
CHA-0007,x-limit-harness
CHA-0008,z-limit-harness
CHA-0009,down-light-harness
CHA-0010,up-light-harness
CHA-0011,pump-harness
CSM-0001,staging-plate
FDM-0001,front-left-leg
FDM-0002,front-right-leg
FDM-0003,back-left-leg
FDM-0004,back-right-leg
FDM-0005,y-gantry
FDM-0006,x-motor-mount
FDM-0007,frame-umbilical-mount
FDM-0008,y-gantry-support
FDM-0009,roller-spacer
FDM-0010,y-gantry-umbilical-mount
FDM-0011,x-gantry-front
FDM-0012,x-gantry-back
FDM-0013,x-idler-mount
FDM-0014,down-camera-mount
FDM-0015,down-light-mount
FDM-0016,cable-clip
FDM-0017,z-gantry-left
FDM-0018,manifold
FDM-0019,up-light-mount
FDM-0020,up-camera-mount
FDM-0021,foot
FDM-0022,umbilical-guide
FDM-0023,peek-cable-guide
FDM-0024,nozzle-holder
FDM-0025,pump-mount
FDM-0026,board-holder
FDM-0027,belt-clamp
FDM-0028,front-left-conveyor-mount
FDM-0029,front-right-conveyor-mount
FDM-0030,back-left-conveyor-mount
FDM-0031,back-right-conveyor-mount
FDM-0032,roller-washer
FDM-0033,servo-mount
FDM-0034,flexible-cam
FDM-0035,clamp
FDM-0036,clamp-guide
FDM-0037,belt-tension-arm
FDM-0038,z-idler-spacer
FDM-0039,z-gantry-right
FDM-0040,z-gantry-backplate-left
FDM-0041,z-gantry-backplate-right
FDM-0042,valve-mount
FDM-0043,motherboard-mount
FDM-0044,x-gantry-tension-bar
FDM-0045,squaring-bracket
FDM-0046,umbilical-swivel-base
FDM-0047,umbilical-swivel-extension
FDM-0048,8mm-strip-feeder
FDM-0049,12mm-strip-feeder
FDM-0050,16mm-strip-feeder
FDM-0051,24mm-strip-feeder
FDM-0052,component-tray
FDM-0053,pcb-holder-right-angle
FDM-0054,CP40-nozzle-camera-mask
FDM-0055,datum-board-mount
FST-0001,M2.5x8-ISO4762
FST-0002,M3-nut-ISO4032
FST-0003,M3x6-ISO7380
FST-0004,M3x8-ISO4762
FST-0005,M3x10-ISO7380
FST-0006,M3x14-DIN7984
FST-0007,M3x16-ISO4762
FST-0008,M3x30-ISO4762
FST-0009,M3x25-standoff
FST-0010,M5-nut-ISO4032
FST-0011,M5-washer-ISO7089
FST-0012,M5x8-ISO7380
FST-0013,M5x10-ISO4762
FST-0014,M5x25-ISO4762
FST-0015,M5x40-DIN7984
FST-0016,M5-tslot-nut
FST-0017,M3-cap-nut
OTS-0001,CP40-nozzle-holder
OTS-0002,usb-webcam
OTS-0003,vacuum-pump
OTS-0004,three-way-valve
OTS-0005,zip-tie
OTS-0006,mobo-cable-shroud
OTS-0007,y-gantry-shroud
OTS-0008,x-gantry-shroud
OTS-0009,pneumatic-splitter-URY6M-4M
OTS-0010,20x20-v-slot-600mm
OTS-0011,v-slot-roller
OTS-0012,NEMA17-stepper
OTS-0013,NEMA11-hollow-shaft-stepper
OTS-0014,linear-rail-100mm-LML9B
OTS-0015,20x20-corner-bracket
OTS-0016,GT2-20-tooth-idler
OTS-0017,GT2-20-tooth-pulley
OTS-0018,pneumatic-coupler-MS4M-M5
OTS-0019,limit-switch-PCBA
OTS-0020,24v_3-Way_Solenoid_Valve_0526T_www.fspump.cn
PCB-0001,motherboard
PCB-0002,ring-light
PCB-0003,limit-switch
PCB-0004,datum-board
