Id	Description	Qty	Unit	Designators
1	Cable, 20 x 22 AWG	1.55	m	W1
2	Connector, JST PH, female, 3 pins	2		TL-H, TL-M
3	Connector, JST PH, female, 4 pins	3		LM-M, RM-M, ZM-M
4	Connector, JST PH, female, 5 pins	2		ZL-H, ZL-M
5	Connector, JST PH, female, 6 pins	1		ZM-H
6	Connector, Molex 51065-0600, female, 6 pins	2		LM-H, RM-H
7	Wire, 22 AWG, BK	12.4	m	LM-H-CABLE, LM-M-CABLE, RM-H-CABLE, RM-M-CABLE, ZL-H-CABLE, ZL-M-CABLE, ZM-H-CABLE, ZM-M-CABLE
8	Wire, 22 AWG, RD	15.5	m	LM-H-CABLE, LM-M-CABLE, RM-H-CABLE, RM-M-CABLE, TL-H-CABLE, TL-M-CABLE, ZL-H-CABLE, ZL-M-CABLE, ZM-H-CABLE, ZM-M-CABLE
9	Wire, 22 AWG, WH	18.6	m	LM-H-CABLE, LM-M-CABLE, RM-H-CABLE, RM-M-CABLE, TL-H-CABLE, TL-M-CABLE, ZL-H-CABLE, ZL-M-CABLE, ZM-H-CABLE, ZM-M-CABLE
10	Wire, 22 AWG, YE	15.5	m	LM-H-CABLE, LM-M-CABLE, RM-H-CABLE, RM-M-CABLE, TL-H-CABLE, TL-M-CABLE, ZL-H-CABLE, ZL-M-CABLE, ZM-H-CABLE, ZM-M-CABLE
