Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2u","C_0805_2012Metric",131.9800,-115.8800,90.0000,top
"C2","22p","C_0805_2012Metric",135.5000,-127.1800,180.0000,top
"C3","2.2u","C_0805_2012Metric",129.8800,-115.8700,90.0000,top
"C4","22p","C_0805_2012Metric",135.5500,-120.8400,0.0000,top
"C5","100n","C_0805_2012Metric",131.0900,-136.0500,270.0000,top
"C6","2.2u","C_0805_2012Metric",114.7000,-115.9100,90.0000,top
"C7","2.2u","C_0805_2012Metric",113.0500,-136.6900,270.0000,top
"C8","100n","C_0805_2012Metric",127.8000,-115.8800,90.0000,top
"C9","100n","C_0805_2012Metric",135.5200,-129.3200,0.0000,top
"C10","100n","C_0805_2012Metric",135.5700,-118.7200,0.0000,top
"C11","100n","C_0805_2012Metric",115.1300,-136.6800,270.0000,top
"C12","100n","C_0805_2012Metric",135.4800,-131.4200,0.0000,top
"C13","100n","C_0805_2012Metric",135.5500,-116.6700,0.0000,top
"C14","2.2u","C_0805_2012Metric",110.9600,-136.6800,270.0000,top
"C15","100n","C_0805_2012Metric",140.8200,-149.7100,0.0000,top
"C16","100u","CP_Elec_6.3x7.7",73.8700,-81.5800,0.0000,top
"C17","100u","CP_Elec_6.3x7.7",115.9700,-81.5800,0.0000,top
"C18","100u","CP_Elec_6.3x7.7",136.8700,-81.5800,0.0000,top
"C19","100u","CP_Elec_6.3x7.7",115.6000,-104.4500,0.0000,top
"C20","100u","CP_Elec_6.3x7.7",136.6800,-104.5300,0.0000,top
"C21","100u","CP_Elec_6.3x7.7",94.9700,-81.5800,0.0000,top
"C22","100n","C_0805_2012Metric",104.8600,-162.3600,270.0000,top
"C23","10u","C_0805_2012Metric",102.2600,-162.3600,270.0000,top
"C24","100n","C_0805_2012Metric",107.2800,-138.3200,270.0000,top
"C25","10u","C_0805_2012Metric",94.1800,-150.4200,0.0000,top
"C26","100u","CP_Elec_6.3x7.7",158.0300,-90.6000,180.0000,top
"C27","10u","C_0805_2012Metric",159.9600,-96.3100,90.0000,top
"C28","10n","C_0805_2012Metric",161.9400,-100.0700,270.0000,top
"C29","100u","CP_Elec_6.3x7.7",165.1400,-114.2100,270.0000,top
"C30","100u","CP_Elec_6.3x7.7",157.5300,-114.1800,270.0000,top
"C31","10u","C_0805_2012Metric",142.3500,-114.8200,180.0000,top
"C32","100n","C_0805_2012Metric",104.3700,-104.1100,0.0000,top
"D2","Yellow","LED_0805_2012Metric",154.6800,-81.7675,270.0000,top
"D3","SS34","D_SMA",155.4200,-98.0400,90.0000,top
"D6","SM4007","D_SOD-123F",153.1100,-151.8200,180.0000,top
"D7","Yellow","LED_0805_2012Metric",158.0500,-148.6000,270.0000,top
"D8","SM4007","D_SOD-123F",153.1000,-143.7200,180.0000,top
"D9","Yellow","LED_0805_2012Metric",158.0400,-140.4600,270.0000,top
"D10","SM4007","D_SOD-123F",153.1300,-135.9200,180.0000,top
"D11","Yellow","LED_0805_2012Metric",158.2000,-132.1700,270.0000,top
"D12","SM4007","D_SOD-123F",153.1100,-127.3500,180.0000,top
"D13","Yellow","LED_0805_2012Metric",158.2600,-123.5375,270.0000,top
"FB1","2.5k","L_0805_2012Metric",107.3400,-162.3800,270.0000,top
"J2","Debugger","PinHeader_2x05_P1.27mm_Vertical_SMD",143.6100,-127.8000,90.0000,top
"J10","Host","USB_C_Receptacle_Palconn_UTC16-G",73.3000,-150.6400,270.0000,top
"L1","15u","L_Coilcraft_XAL60xx_6.36x6.56mm",157.0300,-105.1800,270.0000,top
"Q1","AO3400A","SOT-23",153.5500,-148.1700,90.0000,top
"Q2","AO3400A","SOT-23",153.5100,-140.3700,90.0000,top
"Q3","AO3400A","SOT-23",153.5100,-132.3200,90.0000,top
"Q4","AO3400A","SOT-23",153.5800,-123.7100,90.0000,top
"R1","4.7k","R_0805_2012Metric",121.0840,-115.9200,270.0000,top
"R2","4.7k","R_0805_2012Metric",116.8600,-115.9500,270.0000,top
"R3","10k","R_0805_2012Metric",140.8700,-136.5600,270.0000,top
"R4","10k","R_0805_2012Metric",123.2300,-115.9300,90.0000,top
"R5","10k","R_0805_2012Metric",144.4800,-136.5100,90.0000,top
"R6","10k","R_0805_2012Metric",76.4700,-86.2800,0.0000,top
"R7","10k","R_0805_2012Metric",118.5700,-86.2800,0.0000,top
"R8","10k","R_0805_2012Metric",139.4700,-86.2800,0.0000,top
"R9","10k","R_0805_2012Metric",118.2000,-109.1500,0.0000,top
"R10","10k","R_0805_2012Metric",139.2800,-109.2300,0.0000,top
"R11","10k","R_0805_2012Metric",97.5700,-86.2800,0.0000,top
"R12","4.7k","R_0805_2012Metric",107.5500,-153.2200,270.0000,top
"R13","2.7k","R_0805_2012Metric",105.5600,-153.2000,90.0000,top
"R14","4.7k","R_0805_2012Metric",101.6100,-153.1900,270.0000,top
"R15","2.7k","R_0805_2012Metric",103.5800,-153.2000,90.0000,top
"R16","12.1k","R_0805_2012Metric",98.8300,-152.4900,180.0000,top
"R17","12.1k","R_0805_2012Metric",98.8400,-154.5100,180.0000,top
"R18","820","R_0805_2012Metric",102.0100,-146.1700,90.0000,top
"R19","820","R_0805_2012Metric",94.3000,-145.9900,90.0000,top
"R20","5.1k","R_0805_2012Metric",79.0500,-149.3200,0.0000,top
"R21","2.7k","R_0805_2012Metric",79.0600,-145.7900,180.0000,top
"R22","5.1k","R_0805_2012Metric",79.1200,-152.4400,0.0000,top
"R24","10k","R_0805_2012Metric",154.6800,-78.3500,90.0000,top
"R25","10k","R_0805_2012Metric",167.9100,-103.9000,90.0000,top
"R26","2.7k","R_0805_2012Metric",165.9000,-103.8900,270.0000,top
"R27","560","R_0805_2012Metric",163.8800,-103.8900,270.0000,top
"R28","120","R_0805_2012Metric",101.5200,-100.0800,270.0000,top
"R29","560","R_0805_2012Metric",148.3300,-149.8600,0.0000,top
"R30","36k","R_0805_2012Metric",148.3600,-147.4800,0.0000,top
"R31","2.7k","R_0805_2012Metric",158.0500,-152.0200,270.0000,top
"R32","560","R_0805_2012Metric",148.4500,-139.7400,0.0000,top
"R33","36k","R_0805_2012Metric",148.4600,-142.1100,0.0000,top
