"Comment","Designator","Footprint","LCSC Part #"
"Motor_Driver","A1,A2,A3,A4,A5,A6","Pololu_Breakout-16_15.2x20.3mm",""
"22p","C2,C4,C31,C32","C_0805_2012Metric","C1804"
"1n","C30","C_0805_2012Metric",""
"10n","C28,C29","C_0805_2012Metric",""
"100n","C5,C8,C9,C10,C11,C12,C13,C15,C16,C23,C25,C33,C36","C_0805_2012Metric","C49678"
"2.2u","C1,C3,C6,C7,C14","C_0805_2012Metric","C49217"
"10u","C24,C26,C35","C_0805_2012Metric","C15850"
"100u","C17,C18,C19,C20,C21,C22,C27,C34","CP_Elec_6.3x7.7","C99837"
"SM4007","D6,D7,D8,D9","D_SOD-123F","C64898"
"SS34","D3","D_SMA","C8678"
"Yellow","D2","LED_0805_2012Metric","C2296"
"2.5k","FB1","L_0805_2012Metric","C1017"
"AUX1","J18,J19,J20","IDC-Header_2x06_P2.54mm_Vertical",""
"Bottom Camera","J9,J10,J11","USB_A_Stewart_SS-52100-001_Horizontal","C503996"
"Debugger","J1","PinHeader_2x05_P1.27mm_Vertical_SMD",""
"Feeders","J17","IDC-Header_2x03_P2.54mm_Vertical","C601936"
"Host","J8","USB_C_Receptacle_Palconn_UTC16-G","C165948"
"Mosfet","J22,J23,J24,J25","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","C20079"
"Power","J12","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","C8269"
"X_LIMIT","J2,J3,J4,J5,J6,J7,J13,J14,J15,J16","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","C2316"
"22u","L1","L_Coilcraft_XAL60xx_6.36x6.56mm","C15857"
"MOTOR1","M5,M7","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","C37815"
"MOTOR2","M6,M8","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","C37815"
"Stepper_Motor","M1,M2,M3,M4","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","C37815"
"AO3400A","Q1,Q2,Q3,Q4","SOT-23","C332101"
"120","R29","R_0805_2012Metric","C17437"
"560","R28,R30,R32,R34,R36","R_0805_2012Metric","C28636"
"820","R18,R19","R_0805_2012Metric","C17837"
"2.7k","R13,R15,R21,R27","R_0805_2012Metric","C17530"
"4.7k","R1,R2,R12,R14","R_0805_2012Metric","C17673"
"5.1k","R20,R22","R_0805_2012Metric","C27834"
"10k","R3,R4,R5,R6,R7,R8,R9,R10,R11,R24,R26","R_0805_2012Metric","C17414"
"12.1k","R16,R17","R_0805_2012Metric","C17431"
"36k","R25,R31,R33,R35,R37","R_0805_2012Metric",""
"SW_Push","SW1,SW2","SW_SPST_B3S-1000",""
"2SMPP-03","U4,U6","2SMPP-03",""
"AP1117-33","U13","SOT-223-3_TabPin2","C108785"
"FDS4435BZ","U11","SO-8_3.9x4.9mm_P1.27mm","C23931"
"FE1.1","U10","LQFP-48_7x7mm_P0.5mm","C28958"
"INA128","U7,U8","SOIC-8_3.9x4.9mm_P1.27mm","C22233"
"MAX3078E","U14","SOIC-8_3.9x4.9mm_P1.27mm","C40031"
"MCP3426-xMS","U9","MSOP-8_3x3mm_P0.65mm",""
"STM32F407VETx","U1","LQFP-100_14x14mm_P0.5mm","C28730"
"TL072","U2","SOIC-8_3.9x4.9mm_P1.27mm",""
"TPS54331","U12","SOIC-8_3.9x4.9mm_P1.27mm",""
"12MHz","Y2","Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
"8MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C57131"
