"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"10118194-0001LF","Amphenol ICC (FCI)","609-4618-1-ND","","","Cut Tape (CT)","Active","1","0.43000","$0.43","48155","12 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","RoHS Compliant","Lead free","REACH Unaffected"
"CSTNE16M0V530000R0","Murata Electronics","490-17948-1-ND","","","Cut Tape (CT)","Active","1","0.29000","$0.29","31042","15 Weeks","CERAMIC RES 16.0000MHZ 15PF SMD","ROHS3 Compliant","Contains lead","Not Available"
"ERJ-6GEYJ471V","Panasonic Electronic Components","P470ACT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","146749","16 Weeks","RES SMD 470 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805ZRY5V9BB104","Yageo","311-1361-1-ND","","","Cut Tape (CT)","Active","1","0.11000","$0.11","1170196","33 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATMEGA32U4-AUR","Microchip Technology","ATMEGA32U4-AURCT-ND","","","Cut Tape (CT)","Active","1","4.08000","$4.08","0","9 Weeks","IC MCU 8BIT 32KB FLASH 44TQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ0805J22R","TE Connectivity Passive Product","A130124CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","38316","19 Weeks","CRGCQ 0805 22R 5%","RoHS Compliant","Lead free","Not Available"
"2133","Pololu Corporation","2183-2133-ND","","","Bulk","Active","3","8.95000","$26.85","394","Not Available","DRV8825 STEPPER MTR DRVR CARRIER","RoHS Compliant","Not Available","Not Available"
"B4B-PH-K-S(LF)(SN)","JST Sales America Inc.","455-1706-ND","","","Bulk","Active","32","0.22700","$7.26","14325","16 Weeks","CONN HEADER VERT 4POS 2MM","RoHS Compliant","Lead free","Not Available"
"MCP23017-E/SO","Microchip Technology","MCP23017-E/SO-ND","","","Tube","Active","4","1.20000","$4.80","131","12 Weeks","IC I/O EXPANDER I2C 16B 28SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"UVY1E101MDD","Nichicon","UVY1E101MDD-ND","","","Bulk","Active","3","0.28000","$0.84","14401","Not Available","CAP ALUM 100UF 20% 25V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","","","Cut Tape (CT)","Active","13","0.04000","$0.52","22988481","24 Weeks","RES SMD 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"B3S-1000","Omron Electronics Inc-EMC Div","SW415-ND","","","Bulk","Active","1","0.67000","$0.67","18474","15 Weeks","SWITCH TACTILE SPST-NO 0.05A 24V","RoHS Compliant","Lead free","Not Available"
"150080VS75000","Würth Elektronik","732-4986-1-ND","","","Cut Tape (CT)","Active","1","0.18000","$0.18","47824","10 Weeks","LED GREEN CLEAR 0805 SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"OSTTC032162","On Shore Technology Inc.","ED2610-ND","","","Bulk","Active","1","0.85000","$0.85","27706","8 Weeks","TERM BLK 3P SIDE ENT 5.08MM PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805ZRY5V8BB105","Yageo","311-1358-1-ND","","","Cut Tape (CT)","Active","3","0.16000","$0.48","60250","33 Weeks","CAP CER 1UF 25V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
